Unnamed: 0,Bonus_miles,ID#,clust,cc1_miles,cc2_miles,cc3_miles
516,9039,522,3,1,1,1
517,71921,523,3,5,1,1
518,46606,524,3,4,1,1
519,31465,525,3,1,1,1
520,8185,526,1,1,1,1
521,4040,527,1,1,1,1
522,47994,528,3,4,1,1
523,2000,529,1,1,1,1
524,6828,530,1,1,1,1
525,4942,531,1,1,1,1
526,26926,532,3,4,1,1
527,34308,533,3,4,1,1
528,45890,534,3,4,1,1
529,12040,535,3,3,1,1
530,2500,536,1,1,1,1
531,124421,537,0,5,1,1
532,64450,538,3,5,1,1
533,625,539,1,1,1,1
534,263685,540,3,5,1,1
535,18885,541,3,3,1,1
536,4500,542,1,1,1,1
537,46718,543,3,4,1,1
538,0,544,1,1,1,1
539,2197,545,1,1,1,1
540,2775,546,1,1,1,1
541,7551,547,1,1,1,1
542,252,548,1,1,1,1
543,180,549,1,1,1,1
544,6500,550,1,1,1,1
545,19000,551,1,1,1,1
546,90992,552,3,5,1,1
547,25048,553,3,4,1,1
548,2050,554,1,1,1,1
549,29823,555,0,3,1,1
550,18604,556,3,3,1,1
551,7769,557,3,2,1,1
552,4833,558,1,1,1,1
553,190,559,1,1,1,1
554,23387,560,3,3,1,1
555,3000,562,1,1,1,1
556,0,563,1,1,1,1
557,500,564,1,1,1,1
558,735,565,1,1,1,1
559,290,566,1,1,1,1
560,12678,567,3,3,1,1
561,22485,568,2,2,2,1
562,7700,569,1,1,1,1
563,41004,570,3,4,1,1
564,63811,571,3,5,1,1
565,23522,572,3,3,1,1
566,14331,573,3,3,1,1
567,41264,574,3,4,1,1
568,1600,575,1,1,1,1
569,0,576,1,1,1,1
570,2000,577,1,1,1,1
571,29089,578,3,4,1,1
572,4570,579,1,1,1,1
573,2602,580,1,1,1,1
574,81040,581,3,5,1,1
575,0,582,1,1,1,1
576,78999,583,3,5,1,1
577,1330,584,1,1,1,1
578,2800,585,1,1,1,1
579,250,586,1,1,1,1
580,53043,587,3,5,1,1
581,9548,588,1,2,1,1
582,1000,589,1,1,1,1
583,0,590,1,1,1,1
584,0,591,1,1,1,1
585,250,592,1,1,1,1
586,0,593,1,1,1,1
587,39073,594,3,4,1,1
588,3961,595,1,1,1,1
589,3375,596,1,1,1,1
590,6032,597,1,1,1,1
591,0,599,1,1,1,1
592,19052,600,3,3,1,1
593,27971,601,3,4,1,1
594,38380,602,0,3,1,1
595,100,603,1,1,1,1
596,0,604,1,1,1,1
597,0,605,1,1,1,1
598,41447,606,3,4,1,1
599,57264,607,3,5,1,1
600,41954,608,3,4,1,1
601,27882,609,3,4,1,1
602,86582,610,3,5,1,1
603,28460,611,3,4,1,1
604,16137,612,3,3,1,1
605,1200,613,1,1,1,1
606,21419,614,3,3,1,1
607,5086,615,1,1,1,1
608,35098,616,3,4,1,1
609,450,617,1,1,1,1
610,23404,618,1,2,1,1
611,25078,619,0,1,1,1
612,10885,620,1,1,1,1
613,3733,621,1,1,1,1
614,14445,622,3,3,1,1
615,37110,623,3,4,1,1
616,12211,625,3,3,1,1
617,16463,626,3,3,1,1
618,52908,627,3,4,1,1
619,48874,628,3,4,1,1
620,28190,629,3,4,1,1
621,6273,630,1,2,1,1
622,19113,631,0,2,1,1
623,53495,632,3,5,1,1
624,83752,633,3,5,1,1
625,24973,634,3,3,1,1
626,14168,635,1,3,1,1
627,27410,636,3,4,1,1
628,3825,637,1,1,1,1
629,26117,638,3,4,1,1
630,153183,639,0,5,1,1
631,4625,640,1,1,1,1
632,0,641,1,1,1,1
633,5538,642,1,1,1,1
634,0,643,1,1,1,1
635,280,644,1,1,1,1
636,7396,645,1,2,1,1
637,12315,646,1,1,1,1
638,23049,647,3,3,1,1
639,63841,648,3,5,1,1
640,0,649,1,1,1,1
641,13150,650,1,2,1,1
642,150,651,1,1,1,1
643,500,652,1,1,1,1
644,0,653,1,1,1,1
645,0,654,1,1,1,1
646,0,655,1,1,1,1
647,15153,656,3,3,1,1
648,710,657,1,1,1,1
649,12000,658,3,1,1,1
650,16510,659,3,3,1,1
651,8163,660,3,1,1,1
652,5900,661,1,1,1,1
653,37869,662,3,4,1,1
654,4675,663,1,1,1,1
655,185,664,1,1,1,1
656,4765,665,1,1,1,1
657,22707,666,3,3,1,1
658,12000,667,3,1,1,1
659,10697,668,1,1,1,1
660,29976,669,3,4,1,1
661,233,670,1,1,1,1
662,128048,671,0,5,1,1
663,19223,672,3,3,1,1
664,28208,673,3,4,1,1
665,14582,675,3,3,1,1
666,2750,676,1,1,1,1
667,5547,677,1,2,1,1
668,5025,678,1,1,1,1
669,33950,679,3,4,1,1
670,49656,680,3,4,1,1
671,0,681,1,1,1,1
672,29130,682,3,4,1,1
673,8650,683,1,1,1,1
674,43643,684,3,4,1,1
675,23582,685,3,3,1,1
676,2845,686,1,1,1,1
677,20467,687,3,3,1,1
678,12154,688,3,3,1,1
679,2900,689,1,1,1,1
680,1000,690,1,1,1,1
681,4230,691,0,1,1,1
682,22258,692,3,3,1,1
683,46942,693,0,4,1,1
684,6091,694,1,1,1,1
685,92752,695,3,5,1,1
686,280,696,1,1,1,1
687,88773,697,3,5,1,1
688,23167,698,3,3,1,1
689,37072,699,3,4,1,1
690,2750,700,1,1,1,1
691,28386,701,3,4,1,1
692,30406,702,3,4,1,1
693,27390,703,3,3,1,1
694,6783,704,1,1,1,1
695,5150,705,1,1,1,1
696,0,706,1,1,1,1
697,31624,707,3,2,1,1
698,0,708,1,1,1,1
699,14728,709,3,3,1,1
700,0,710,1,1,1,1
701,44472,711,3,4,1,1
702,68090,712,0,5,1,1
703,0,713,1,1,1,1
704,103935,714,3,5,1,1
705,45416,715,3,4,1,1
706,5590,716,1,1,1,1
707,0,717,1,1,1,1
708,7134,718,0,1,1,1
709,1287,719,1,1,1,1
710,1587,720,1,1,1,1
711,41174,721,3,4,1,1
712,0,722,1,1,1,1
713,14029,723,3,2,1,1
714,41278,724,3,4,1,1
715,17510,725,3,3,1,1
716,29999,726,3,4,1,1
717,22675,727,3,3,1,1
718,97318,728,0,5,1,1
719,1100,729,1,1,1,1
720,5488,730,1,2,1,1
721,21721,731,3,3,1,1
722,4197,732,1,1,1,1
723,20468,733,3,3,1,1
724,75,734,1,1,1,1
725,76440,735,3,5,1,1
726,48914,736,3,4,1,1
727,18122,737,3,3,1,1
728,11411,738,1,3,1,1
729,1250,739,1,1,1,1
730,41253,740,3,4,1,1
731,45517,741,3,4,1,1
732,318,742,1,1,1,1
733,818,743,1,1,1,1
734,1065,744,1,1,1,1
735,9547,745,1,2,1,1
736,61274,746,3,5,1,1
737,2125,747,1,1,1,1
738,9799,748,1,1,1,1
739,53843,749,3,5,1,1
740,17383,750,3,3,1,1
741,43190,751,3,4,1,1
742,0,752,1,1,1,1
743,22750,753,0,1,1,1
744,8048,754,3,2,1,1
745,42020,755,3,4,1,1
746,6333,756,1,1,1,1
747,10365,757,1,2,1,1
748,2045,758,1,1,1,1
749,1713,759,1,1,1,1
750,63584,760,3,5,1,1
751,2987,761,1,1,1,1
752,8444,762,1,1,1,1
753,20441,763,3,3,1,1
754,48914,764,3,4,1,1
755,619,765,1,1,1,1
756,39166,766,3,4,1,1
757,34648,767,3,4,1,1
758,15914,768,3,3,1,1
759,11915,769,3,3,1,1
760,10028,770,3,2,1,1
761,2100,771,1,1,1,1
762,5472,772,1,1,1,1
763,51769,773,3,4,1,1
764,73622,774,3,5,1,1
765,31266,775,3,3,1,1
766,1110,776,1,1,1,1
767,18615,777,3,3,1,1
768,14313,778,3,3,1,1
769,43589,779,3,4,1,1
770,811,780,1,1,1,1
771,6606,781,1,2,1,1
772,11406,782,0,1,1,1
773,22918,783,3,3,1,1
774,40939,784,3,4,1,1
775,3546,785,1,1,1,1
776,8436,786,3,2,1,1
777,2750,787,1,1,1,1
778,500,788,1,1,1,1
779,5625,789,1,1,1,1
780,65972,790,3,5,1,1
781,69780,791,3,5,1,1
782,2910,792,1,1,1,1
783,2375,793,1,1,1,1
784,13041,794,1,3,1,1
785,6919,795,1,2,1,1
786,1750,796,1,1,1,1
787,22148,797,3,3,1,1
788,20645,798,3,3,1,1
789,14149,799,3,3,1,1
790,4000,800,1,1,1,1
791,47498,801,3,4,1,1
792,48521,802,3,4,1,1
793,36093,803,3,4,1,1
794,5095,804,2,1,2,1
795,6000,805,1,1,1,1
796,40367,806,3,4,1,1
797,29264,807,3,4,1,1
798,78967,808,3,5,1,1
799,0,809,1,1,1,1
800,59650,810,3,4,1,1
801,100,811,1,1,1,1
802,370,812,1,1,1,1
803,11756,813,3,3,1,1
804,0,814,1,1,1,1
805,11433,815,3,3,1,1
806,65077,816,3,4,1,1
807,34257,817,3,4,1,1
808,20730,818,1,3,1,1
809,475,819,1,1,1,1
810,2455,820,1,1,1,1
811,19077,821,3,3,1,1
812,53108,822,3,5,1,1
813,42774,823,3,4,1,1
814,58814,824,3,5,1,1
815,20442,825,1,2,1,1
816,0,826,1,1,1,1
817,1000,827,1,1,1,1
818,52263,828,3,4,1,1
819,7158,829,1,1,1,1
820,5950,830,0,1,1,1
821,4225,831,1,1,1,1
822,8500,832,1,1,1,1
823,62133,833,3,5,1,1
824,0,834,1,1,1,1
825,16504,835,1,3,1,1
826,13500,836,1,1,1,1
827,0,837,1,1,1,1
828,37251,838,3,4,1,1
829,11229,839,3,3,1,1
830,21221,840,3,3,1,1
831,31726,841,3,4,1,1
832,64186,842,3,5,1,1
833,3150,843,0,1,1,1
834,24660,844,3,3,1,1
835,71171,845,3,5,1,1
836,36024,846,3,4,1,1
837,31503,847,3,4,1,1
838,250,848,1,1,1,1
839,22463,850,0,3,1,1
840,33200,851,3,4,1,1
841,60000,852,3,5,1,1
842,23703,853,3,3,1,1
843,1390,854,1,1,1,1
844,43512,855,3,4,1,1
845,750,856,1,1,1,1
846,7944,857,1,2,1,1
847,64748,858,3,5,1,1
848,0,859,1,1,1,1
849,33447,860,3,4,1,1
850,107308,861,4,4,1,5
851,32635,862,0,3,1,1
852,1404,863,1,1,1,1
853,12060,864,1,3,1,1
854,40997,865,3,4,1,1
855,33187,866,3,4,1,1
856,2550,867,1,1,1,1
857,2125,868,1,1,1,1
858,74399,869,3,5,1,1
859,20257,870,3,3,1,1
860,27846,871,0,2,1,1
861,16715,872,3,3,1,1
862,4500,873,1,1,1,1
863,270,874,1,1,1,1
864,61634,875,3,4,1,1
865,34652,876,3,4,1,1
866,8528,877,1,2,1,1
867,8156,878,1,2,1,1
868,5132,879,0,1,1,1
869,9000,880,1,1,1,1
870,21568,881,3,3,1,1
871,17059,882,3,3,1,1
872,8384,883,3,2,1,1
873,4850,884,1,1,1,1
874,2750,885,1,1,1,1
875,14000,886,1,1,1,1
876,0,887,1,1,1,1
877,40806,888,3,3,1,1
878,6494,889,1,2,1,1
879,3193,890,1,1,1,1
880,63866,891,3,5,1,1
881,21078,892,3,3,1,1
882,0,893,1,1,1,1
883,29156,894,3,4,1,1
884,40232,895,3,4,1,1
885,19947,896,3,3,1,1
886,2631,897,1,1,1,1
887,26724,898,3,4,1,1
888,0,899,1,1,1,1
889,6500,900,1,1,1,1
890,15040,901,3,2,1,1
891,85844,902,3,5,1,1
892,2500,903,1,1,1,1
893,37419,904,3,4,1,1
894,65,905,1,1,1,1
895,2131,906,1,1,1,1
896,11650,907,0,1,1,1
897,4030,908,1,1,1,1
898,0,909,1,1,1,1
899,8867,910,1,2,1,1
900,62510,911,3,5,1,1
901,21382,912,0,5,1,1
902,3000,913,1,1,1,1
903,9406,914,1,2,1,1
904,112171,915,4,2,1,5
905,147787,916,3,5,1,1
906,3500,917,1,1,1,1
907,980,918,1,1,1,1
908,0,919,1,1,1,1
909,50533,920,3,4,1,1
910,100,921,1,1,1,1
911,44591,922,3,4,1,1
912,140,923,1,1,1,1
913,1650,924,1,1,1,1
914,9022,925,0,1,1,1
915,0,926,1,1,1,1
916,0,927,1,1,1,1
917,76256,928,3,5,1,1
918,5000,929,1,1,1,1
919,40233,930,3,4,1,1
920,0,931,1,1,1,1
921,2125,932,1,1,1,1
922,105913,933,3,5,1,1
923,11385,934,3,3,1,1
924,3200,935,1,1,1,1
925,500,936,1,1,1,1
926,9347,937,3,2,1,1
927,437,938,1,1,1,1
928,6000,939,1,1,1,1
929,2625,940,1,1,1,1
930,61599,941,3,5,1,1
931,2375,942,1,1,1,1
932,64360,943,3,5,1,1
933,10930,944,1,3,1,1
934,28202,945,3,4,1,1
935,74067,946,3,5,1,1
936,30116,947,3,3,1,1
937,27545,948,3,4,1,1
