,Cherry,Mango,Banana,Guava,Litchi,Wastage
72,31037,37660,21614,45312,49210,49943
73,46729,38302,26287,31657,19260,5566
74,21556,19848,12827,20935,14844,24974
75,46607,30504,39462,28822,15377,24892
76,8805,20320,25424,36430,18066,34519
77,12725,36150,23241,5920,38354,33719
78,36389,24466,46440,32939,35559,24391
79,48407,24456,24223,23815,46500,29840
80,39549,17902,46727,17236,8394,20503
81,41771,5088,12330,22080,10619,5670
82,14229,35425,7159,30514,23244,25826
83,22474,44512,41200,6127,30514,24082
84,43081,12143,31869,15729,27571,24825
85,8155,23243,11433,12658,13117,5371
86,44931,27674,39434,32020,12578,21491
87,22774,32177,29009,13470,15445,35706
88,44533,21977,17462,15810,19332,9372
89,28176,49635,49851,37173,14113,32431
90,49312,31805,4518,19439,11090,20092
91,43021,38524,28214,44359,37133,29032
92,34853,26286,2726,26954,12047,15271
93,26237,7042,14238,16145,44998,29466
94,36851,32332,32011,30835,40715,12335
95,10167,37078,21528,9117,9917,5986
96,12807,17167,18672,23627,27649,23851
97,40439,49698,39243,42110,39979,14516
98,40325,46393,24088,25342,28334,9556
99,31957,23826,1057,47672,40447,27620
100,41118,16538,41071,42612,10801,35281
101,38654,28534,20158,27102,27559,34103
102,35535,33494,7038,31083,29475,44722
103,15327,11658,41466,23883,48243,22541
104,30943,18963,8712,14553,42111,15094
105,7203,8930,18390,37354,23159,43677
106,45258,8459,29337,13976,47942,23048
107,6770,34035,42352,39540,47852,29619
108,5471,43443,23072,35636,34061,45986
109,41083,25219,30405,11343,30000,15370
110,33361,32718,29815,29024,35580,43868
111,44378,8751,32164,29708,36053,17635
112,6954,17872,20229,15557,14469,37562
113,45199,42671,14707,5956,15209,28665
114,15778,14247,19522,13965,44147,37176
115,41453,25128,49061,12591,44798,43384
116,8774,18161,12877,44987,36630,43697
117,46438,43125,42334,5695,40203,21941
118,8853,49457,46009,30175,9298,49093
119,29593,12969,1746,32956,11245,14529
120,8431,49847,23609,36462,34273,37231
121,29293,42221,49447,31611,36525,6039
122,26657,46494,1816,11666,46242,18575
123,33974,28730,935,30826,34926,11140
124,34591,32893,49377,23579,38525,47428
125,49494,35446,19544,46619,21389,26442
126,24286,47485,23050,9124,38333,34919
127,20244,16861,39688,8278,46646,21220
128,22670,10286,31312,32679,36722,18434
129,23516,39236,6504,23922,49436,29155
130,38577,41014,13592,23934,49226,10303
131,10024,42486,33110,35001,44153,7798
132,9569,47433,33500,24548,28373,37914
133,22390,23805,35256,31772,39667,23585
134,15742,38834,5210,40741,19826,43794
135,24157,14257,43232,24878,41337,49597
136,19184,31604,11008,23695,41132,22130
137,27612,35588,48067,36063,18851,18432
138,17741,22945,7390,25646,37371,8128
139,39124,48437,13753,13351,32378,19701
140,41830,49498,3238,7183,35870,27034
141,49753,33973,33772,7099,46722,26368
142,14702,27677,46407,6992,12738,18859
143,20291,24611,17319,19282,41940,20699
144,13198,43184,42495,22778,38849,9972
145,13824,24784,44591,45883,37256,29996
146,5478,12844,1913,22632,8705,25129
147,45317,34642,18488,49823,27993,14154
148,31223,42696,46691,38303,48197,39544
149,7256,42277,25489,13796,29586,13576
150,5152,28118,9193,49471,17431,37734
151,25368,17577,33983,14849,11493,29166
152,47352,31002,46014,34593,32921,20511
153,39725,6274,23926,45870,20594,42070
154,37173,33909,39750,9594,26566,34632
155,29106,43701,34398,28866,9381,24832
156,21358,13021,15936,34892,10017,7087
157,9442,43996,22650,20475,27254,36189
158,10109,33384,38945,33160,35413,32617
159,41126,32171,23806,7428,17778,34177
160,25750,49307,17595,30907,37520,40214
161,34446,41498,30044,49232,45415,36254
162,12551,30361,43389,33453,44385,23078
163,9377,18137,1125,48501,48932,46163
164,14613,14940,34277,36252,16508,10461
165,28870,7381,32878,44979,20223,17556
166,43232,47375,33566,38859,39538,14074
167,16163,30881,26037,49228,21364,9155
168,49713,20481,25510,33562,42754,8000
169,43242,45998,39716,17161,10779,12995
170,42547,14694,17289,12890,32948,6008
171,25726,41992,17081,30134,6272,41603
172,37073,32174,6735,19719,5921,20978
173,14293,25214,46977,47191,28203,44902
174,41255,15582,21677,16687,49860,44925
175,18872,35805,12347,39212,48865,27644
176,9447,13835,14288,34346,11996,9187
177,30405,41706,31039,12330,41076,9008
178,18967,29505,45031,28144,8163,17499
179,25008,38135,39699,42612,23802,37340
180,15153,8505,17843,24831,41766,33058
181,42882,26169,3521,25662,44699,36953
182,40651,33766,23323,47689,7034,22919
183,14054,48039,15213,17931,34820,21651
184,22008,26223,11338,23274,18387,8796
185,17471,29958,46502,25218,29947,32181
186,44681,48095,12081,19477,28547,17632
187,13975,14522,42854,43318,13978,40333
188,16040,47611,4679,8837,46767,12512
189,7924,28364,48810,16893,6713,37265
190,23640,32333,7945,20472,35115,39742
191,12632,9761,36898,9613,7938,31061
192,24818,16985,48345,23629,45269,41834
193,42179,27308,22391,39581,9303,31291
194,23175,5848,12315,35746,8338,5284
195,24759,43713,25990,38646,29102,26183
196,40607,10140,25295,14104,35260,29340
197,14012,31465,6762,46172,36691,12956
198,28748,43621,39231,19658,34620,32883
199,21272,44178,2109,49251,44601,42994
200,40781,36171,46264,24338,5523,18597
201,6268,22717,20032,17517,15612,43214
202,30999,12107,45940,38072,43674,6645
203,17127,25411,39213,48894,15024,8798
204,38105,39290,26351,8979,33087,40164
205,41522,40992,41068,35289,23594,26208
206,34466,31201,7077,47748,33770,14620
207,42738,11268,30518,22650,21643,36863
208,41661,24433,24858,49921,6432,10016
209,16661,43818,35665,36855,26336,23083
210,18529,34348,3475,32125,35155,25139
211,33164,48397,46383,25669,28249,31759
212,5952,11281,2004,38082,22837,11099
213,10994,45885,3982,42598,38865,10526
214,21663,43439,21172,45600,22806,47286
215,9002,6929,47049,30825,48227,29250
216,32724,29299,41260,27558,27923,14881
217,37460,18053,10360,10564,38470,28429
218,41676,7616,19048,10952,42598,42853
219,24533,23213,19535,18163,30874,23346
220,49365,5741,21411,13876,28713,12467
221,41018,20638,30830,24109,33273,48788
222,25243,7873,36176,33393,48331,34369
223,38754,35914,40669,18913,26639,16193
224,37237,47439,12714,7724,15690,10241
225,18205,26419,37479,34663,32920,27526
226,37992,5234,21468,36045,36861,13856
227,46706,6660,36846,47400,42719,45834
228,5480,45881,33899,28491,49485,22582
229,23247,6994,3630,17053,47676,12033
230,42061,14005,29298,9329,18678,19118
231,43895,27062,28051,9974,45149,14910
232,14592,13790,14989,48200,17891,44480
233,7655,36251,14136,7982,7130,36945
234,35734,21217,11674,10582,24772,18800
235,46346,29621,19150,47120,22691,24049
236,35502,24139,49733,16723,26759,12574
237,41343,8400,42907,23080,8092,15597
238,32121,17158,12387,29997,31820,19981
239,41845,18931,43252,11499,43269,36239
240,26986,24792,44447,33083,49220,35524
241,34423,45934,15824,35375,41571,6499
242,36029,9243,20080,42497,6118,41734
243,14387,23066,36570,40045,41264,34800
244,13184,28024,14888,19846,46202,15928
245,44063,42751,30275,18211,15862,9992
246,19723,34018,29857,33127,48998,42842
247,30634,35846,29149,44844,45845,29793
248,38767,36789,5265,21889,46212,19758
249,18892,16073,39096,48575,8565,38856
250,37235,33991,49213,10668,8319,45475
251,37175,49475,8680,13587,32308,19449
252,13845,23377,7033,25112,32731,42780
253,44078,11187,49114,32887,19066,23397
254,38419,17047,43818,29741,27651,25025
255,45152,23402,25056,29598,37853,7574
256,6731,36113,13529,14287,7347,33005
257,35365,40229,17824,45279,33746,43554
258,23649,7033,3193,6407,17560,48334
259,38845,12758,26855,17684,44367,10296
260,33817,21386,15313,10279,40360,12195
261,33166,47640,29606,49446,15300,43079
262,46058,26281,13603,32418,49331,35173
263,43917,12216,39756,16898,49505,40130
264,7031,46835,44490,13832,34721,5037
265,39513,15055,47791,37449,25758,42138
266,9978,15505,29688,21011,19221,43391
267,43011,16297,6489,41483,14821,11208
268,45586,28849,4688,34943,14396,16572
269,12401,16313,43950,8831,49253,33116
270,12601,35755,19146,44346,30240,23413
271,33115,13490,35902,33988,23955,23340
272,38236,39161,17946,29399,44308,42405
273,18032,25860,16535,46370,38911,13870
274,47310,45354,38025,19462,15485,42333
275,38378,40904,23545,25194,16054,19773
276,47657,9172,48507,48527,24901,39896
277,16245,23546,17801,31744,17900,32849
278,36886,33243,15253,22935,13015,42352
279,39580,5882,40376,29710,49846,14529
280,13255,5023,43232,49065,18145,29847
281,15522,34342,9834,13273,13439,8903
282,31104,38039,20064,40875,29407,30569
283,25802,27067,17048,9969,17573,14621
284,12078,7088,48393,45097,23527,28032
285,20826,9439,19585,20623,14944,35586
286,37692,35084,16061,42073,25903,13882
287,35387,32857,37900,6128,29319,7545
288,12784,40907,6021,16928,6276,11490
289,7539,21481,19223,17189,13099,28620
290,16689,32692,34433,45876,13069,45288
291,33729,26543,31404,45409,8317,22508
292,10509,23617,5572,41065,18877,14162
293,14257,24080,12307,25314,43937,48089
294,45914,10107,14010,38066,21011,39526
295,8005,26037,41778,12401,31102,26873
296,43999,20160,34672,46708,21341,16600
297,38048,10048,22092,45272,23991,13429
298,48475,16585,31715,34676,19158,44792
299,7277,10351,30557,32154,5060,39010
300,14126,32045,36252,15005,39567,39060
301,18668,29051,28471,44415,15550,8796
302,11686,30635,2922,37433,17983,17976
303,30821,21768,46568,42784,18116,31282
304,30090,18310,49322,43667,9968,23495
305,29065,15579,34421,49096,20806,8917
306,32812,25154,2741,31016,33400,20359
307,35121,9933,40171,40174,12985,44140
308,23778,15168,11220,36090,26464,19003
309,42400,27128,43751,29144,26313,30644
310,29447,30090,31690,15338,44575,20450
311,46769,9762,22736,34183,23170,6731
312,12523,44537,47404,32460,13345,43747
313,37688,42840,35660,39862,20915,20786
314,7486,30506,13089,22581,8516,41588
315,5044,43067,31263,6476,16695,33482
316,34492,26491,49525,35322,6635,14985
317,7116,18009,49426,42603,39754,27597
318,14338,36702,22523,31413,8184,16797
319,23774,16188,42253,19780,31617,18883
320,18326,40286,34574,41040,43014,38452
321,13989,46772,47125,36628,13924,25546
322,32348,30863,23254,48555,40226,16078
323,28812,14327,11023,30497,20730,40288
324,47908,34883,41706,31992,28979,19966
325,24089,35012,7023,8688,11263,44957
326,19881,14094,30153,17802,8675,21060
327,22653,27132,29631,16854,44254,35824
328,42464,11564,14418,29849,29860,36321
329,46419,46789,5750,41309,18458,31874
330,25171,43346,14827,44190,18451,23714
331,8944,14838,44430,13281,24780,31563
332,8024,41266,47251,41024,48748,30450
333,49357,5178,48142,37907,15012,24564
334,29347,17567,16047,15400,22538,49652
335,33023,5181,20139,32634,42258,34672
336,18367,8556,5512,35965,42711,47927
337,6064,19669,26502,39008,12760,12103
338,5558,26913,7214,6104,8706,47229
339,34240,36358,36997,44823,11627,49541
340,23982,35313,8458,31846,12649,9224
341,27580,20177,31221,36651,38057,43983
342,34840,42407,26933,6395,15756,17656
343,5620,19727,29606,24721,21098,15008
344,6312,24050,30423,21304,49135,41310
345,22217,43885,25634,6732,48717,32358
346,24210,17895,35640,15597,24189,34056
347,44591,29418,13148,22745,37422,27783
348,15948,15300,46271,13745,43408,24540
349,37495,25569,22134,6715,45265,40164
350,8360,23251,32484,12776,43217,5892
351,22937,29063,43512,39002,7801,12591
352,48780,45792,49213,13282,19168,25488
353,38686,8845,33305,21892,41984,37740
354,34435,43747,12851,35178,40411,19375
355,43659,19060,19240,13494,34130,22305
356,44405,5166,16954,28768,6415,7290
357,34934,31128,48753,42397,12903,46666
358,41720,23570,47246,38315,15945,20298
359,29791,30083,10144,14884,21767,34621
360,38430,24830,2405,42661,31591,29416
361,49513,21809,38703,37103,43640,17221
362,41138,38983,1882,44864,7921,23519
363,25875,15122,6971,20897,6308,25221
364,19808,46952,43405,45753,41711,49757
365,30526,7611,23649,22689,30905,45597
366,32524,28182,22715,48128,15873,13530
367,49879,22119,17900,49818,33652,23452
368,17185,48320,22236,42380,48155,30081
369,20475,26055,34928,48599,46045,33897
370,35391,18791,47546,33017,33510,40793
371,31596,11670,29456,33321,36847,20186
372,41729,49895,18156,13860,48256,42439
373,20012,20605,39721,28901,27729,28291
374,16545,23448,10171,48845,22227,22823
375,20469,44838,26261,44484,42365,39939
376,48691,20046,47491,32149,30966,10646
377,36270,17054,4454,19117,45418,47835
378,37112,39316,48469,47175,7559,10419
379,9337,43574,19918,38903,17845,7916
380,5304,25022,30552,41928,29056,42474
381,37683,47063,45069,10495,15574,22408
382,33241,37172,9389,22409,47950,12834
383,14825,10803,20722,40012,19655,18877
384,24876,8756,37131,18770,18833,38176
385,7965,26899,26504,42893,12600,17563
386,10208,27174,22541,40571,10648,13462
387,13009,12625,4874,21558,10962,32259
388,28732,49870,38316,10018,39470,19307
389,24510,18309,25373,8371,43660,24630
390,24421,36685,2587,46279,26317,39134
391,48329,13347,41836,31125,26617,32363
392,30920,13296,8014,27222,30519,32769
393,28809,6276,1552,15438,49677,43203
394,19377,30641,3953,19698,6618,28176
395,23014,20646,1056,48884,15169,27171
396,36178,28423,10815,45651,18838,15815
397,7973,19630,24817,49510,39732,12913
398,15974,37705,35110,27591,35246,44545
399,43783,36649,47631,23106,19640,31302
400,9504,14577,39384,21599,41599,11923
401,11490,12505,36345,27825,17144,16556
402,44540,42391,14490,32135,10138,28099
403,44675,12149,21870,40262,44711,46740
404,31308,8030,33469,22687,45391,12839
405,5997,27902,36315,37179,17323,20250
406,39612,30720,37885,15252,29413,16684
407,47983,43103,14292,39160,7331,18410
408,37390,12221,46876,7225,16103,30359
409,12498,6747,37295,20617,6261,30766
410,29124,29238,10366,26578,39365,11550
411,10987,46718,1702,48612,45402,43174
412,30464,10445,6816,26559,31959,8848
413,21207,26044,29973,37391,19337,12213
414,42861,45619,15761,44965,40645,41764
415,28936,42632,21602,25969,37964,7227
416,25786,8389,14867,35878,30914,34212
417,20393,31968,35975,49148,34586,12987
418,44575,42692,45746,6869,28145,13341
419,27382,14073,3593,14848,46093,29089
420,49986,5776,1029,33617,30320,34873
421,43094,14708,26468,16296,16595,12364
422,7569,21257,18494,25233,45305,36611
423,8379,5936,536,36530,46255,31618
424,35173,12331,40346,7869,9523,28511
425,16048,9799,3854,36946,6204,7533
426,35245,41409,21580,5881,21240,16413
427,40677,20936,25988,31347,37357,47006
428,18822,6913,14098,37708,40673,34072
429,46153,13587,3096,11503,12950,24579
430,49942,39337,23791,39564,8328,36330
431,18545,48576,47919,39410,26634,21113
432,30079,6634,2721,49160,40791,26582
433,29439,43390,22158,36280,36237,26198
434,19268,9473,34258,20781,29175,22470
435,25259,20553,2644,17924,20358,37031
436,9016,23925,18302,22609,15371,41765
437,43710,49166,18777,38298,21254,45080
438,49959,18698,5659,34460,37593,25457
439,14669,19374,24586,43757,29252,28729
440,6766,31938,35708,36389,20145,43566
441,39802,39183,17849,28350,13215,37501
442,35758,38845,39703,10852,10609,14724
443,8349,6339,44018,24995,18239,26683
444,24431,25362,11312,25213,43291,5892
445,18260,40312,38394,43966,48037,17113
446,42684,7722,43522,49421,14627,27525
447,18878,27945,4967,44980,22070,26552
448,33720,36619,41377,30894,22254,5524
449,25741,29928,898,24119,8760,38906
450,36922,18107,6583,21622,48808,18064
451,30652,15974,23603,9310,23105,17434
452,14378,12957,18342,17541,10603,16242
453,39259,45878,48184,37510,9379,33594
454,37505,23542,12472,7481,40563,8813
455,6744,10790,29668,6706,25834,38659
456,23931,36981,44526,18816,30197,20075
457,48674,33423,29310,23943,42746,11154
458,25623,11681,12126,49590,13567,31128
459,20915,40830,4211,11866,44297,47762
460,13302,18183,49117,12913,39948,9937
461,6220,22127,29631,39425,5634,11807
462,49262,48213,17216,43980,21530,21868
463,41259,36416,28207,23236,44924,26493
464,5080,46496,35758,45054,44724,43269
465,24946,10904,10855,47015,15546,32421
466,46970,45404,48622,40613,8186,36694
467,23657,13909,47129,20397,5263,47202
468,41088,36006,10553,21281,11924,7785
469,13069,47233,39938,33721,23013,27738
470,10177,29284,22322,7657,32514,27449
471,20934,26738,42048,7025,23187,7578
472,34976,46741,3662,9686,20574,36182
473,48717,11438,24008,30436,15247,22993
474,18351,38088,27314,31850,6944,41217
475,28772,45437,46473,15978,41520,38240
476,39631,5375,26102,6529,29910,29066
477,38228,35838,40037,10976,45692,49449
478,35969,8820,43906,36050,34107,12183
479,5951,10590,49731,48790,42116,37270
480,9840,13432,45114,43476,35900,5946
481,5052,11060,3128,40422,41834,9789
482,37644,43929,26324,35865,42828,47624
483,32117,7031,21808,41814,13403,14106
484,27816,5999,38491,46387,15442,6718
485,22061,31431,5653,24557,30766,46244
486,7879,41239,41454,42668,37158,22950
487,5130,24246,10022,22595,18185,13117
488,33689,48630,49377,19587,32847,31611
489,47019,30829,43120,36218,33967,19696
490,24034,22810,30900,14648,25127,15226
491,18624,37569,13208,6858,28287,46231
492,28819,45651,13474,45299,6501,43061
493,10276,41319,11822,37988,20289,40296
494,38890,5829,34281,16673,13308,46920
495,35000,19287,2603,7785,17049,12577
496,38772,36643,1098,17440,37296,16297
497,20581,10950,49212,41119,9044,24144
498,27254,5693,8613,15751,18157,24481
499,49101,30833,33861,10394,30072,34251
500,25068,6508,10660,23170,45843,7661
501,12596,47088,38326,39127,46390,25885
502,41442,36199,18080,33528,10314,47210
503,46970,23266,39579,36645,37001,5103
504,8753,11909,1061,9960,32052,45991
505,16998,47783,28892,7571,38862,22552
506,36418,27395,12234,11787,33251,5530
507,5174,32042,17789,42907,8744,29516
508,12039,15528,541,12830,49351,37751
509,33478,14687,42861,18049,29446,24796
510,13584,30038,15717,12339,28261,9942
511,49440,19202,4016,7996,42591,22141
512,37299,29008,19507,33186,6462,48779
513,18645,32200,36330,24173,18625,29998
514,41367,35718,2722,42383,6191,20631
515,15420,32687,8805,15753,9898,43385
516,9181,17522,6703,17541,20470,18367
517,39766,34638,48094,30879,29987,16710
518,24352,23071,33781,11260,36063,38296
519,27647,33460,33403,11612,17406,9568
520,34550,20925,9224,14500,42716,21939
521,25572,8085,28337,27116,13615,24029
522,44705,13738,8824,20113,25870,34247
523,17065,20663,42833,44950,30608,7789
524,49819,46760,41287,25931,30681,27516
525,10048,46006,25894,12313,40026,27203
526,47190,19072,48928,10837,16732,38492
527,16501,6104,36683,6487,40033,15993
528,16441,45125,25023,14049,48544,17040
529,19279,23362,14576,28748,29594,28405
530,43598,47215,6695,10283,16150,46185
531,45194,29446,15094,14146,40512,33513
532,5412,47498,33140,41111,30623,45429
533,9574,9947,28600,40738,39588,24459
534,17508,35898,43652,27251,12253,18496
535,22167,42546,49454,48508,30366,40302
536,42878,40685,48864,6214,26616,40903
537,44431,43774,49515,20437,21769,17111
538,17467,43111,13392,13520,49940,37899
539,33124,31676,39160,34834,42857,26967
540,15066,32198,5694,29513,21646,8390
541,9145,25330,42141,45719,14956,7203
542,38700,38497,22682,33067,6611,11963
543,31359,21073,4703,7972,13254,30626
544,22390,17258,30499,19705,12008,7753
545,23505,18742,31839,9173,29858,8945
546,31026,13908,13755,45526,34010,24335
547,25679,18636,22715,13723,8613,17160
548,5866,39804,3236,25168,27527,18619
549,33589,5676,8511,44064,21926,33930
550,33851,21749,24751,39842,49410,26203
551,32144,48441,5205,24972,34140,33963
552,43679,35476,49828,11773,6571,21339
553,5667,11846,31325,18744,47896,9672
554,5833,17429,16527,31044,30679,31609
555,13891,8906,44329,45212,30944,29566
556,10130,14668,31744,28787,44626,40113
557,18176,36589,22401,23764,37314,16358
558,25331,34552,24018,37443,28436,16173
559,7149,49779,40348,44246,30467,8447
560,32343,12775,12532,42894,15786,31786
561,31761,17454,33423,19198,38440,49952
562,36402,48749,24965,24032,14893,32229
563,17952,36114,29017,35195,41788,22018
564,33251,24810,6408,15604,22585,43930
565,33613,8052,4406,33872,49423,9455
566,24644,15212,10556,46050,33429,6216
567,11184,16508,42958,23068,12568,31144
568,18812,32945,38507,8043,23670,43697
569,34839,33746,11575,45361,30922,23213
570,46459,8960,31597,38131,33669,46889
571,44420,26791,10092,24725,43577,21599
572,36859,18363,18769,39901,49480,16900
573,12163,6947,20167,31450,37439,43341
574,29307,13958,31756,8631,35936,49985
575,13669,23917,34892,16455,44789,34885
576,14388,29445,31485,37275,19732,18636
577,18290,10101,28988,17491,10431,39738
578,18517,47579,2249,47111,32258,39794
579,28134,34344,6730,28480,34080,25450
580,38614,17446,32550,18370,34267,29704
581,38744,43448,46186,18965,8659,8800
582,44278,10158,47787,30088,38315,6052
583,7329,23233,7242,31041,32611,33082
584,46317,40590,43248,22091,46297,21877
585,34142,17536,9673,8734,13136,21994
586,26920,43430,46422,34429,16743,46494
587,36004,8480,6292,40333,20903,14183
588,14663,37137,31853,26188,20637,15935
589,38008,25629,6701,17864,46381,30306
590,46123,34715,9245,18718,8739,34343
591,34390,33213,34655,24917,16721,10828
592,31956,17700,21311,10691,48638,10391
593,32948,39915,48440,29762,31377,35729
594,11326,8301,37844,16229,8061,21571
595,38112,46984,47304,8490,14510,23333
596,37039,42200,44611,12386,43723,30129
597,38885,29085,25389,11957,32188,29112
598,47005,31318,6698,32351,49968,8237
599,17816,48165,29095,8847,36469,48513
600,41626,26205,8769,49325,15728,32296
601,26902,26127,29506,23157,18447,10691
602,33445,12534,32674,17856,18657,46762
603,48449,49276,27865,36677,9650,47737
604,5121,25257,16605,42145,45441,48173
605,34518,45588,9915,6094,42854,15031
606,32663,13015,3434,30281,37363,36046
607,43830,10075,14570,18503,31980,27499
608,5156,30692,46986,40985,32946,31862
609,28131,34497,36931,49038,44993,24022
610,43157,46922,38061,30906,19686,31258
611,38269,24058,48067,6712,29992,41779
612,33677,11647,24171,33676,38885,18539
613,14505,17274,45127,31344,6863,41347
614,42549,49289,18451,28993,35852,34062
615,5590,10178,42336,13118,48841,28645
616,34913,15862,46312,44162,43361,17726
617,27899,48859,26200,21214,48350,22228
618,24735,40251,39825,48212,17900,18790
619,32107,12038,33044,21248,26264,23694
620,10566,25382,11001,36064,24592,49104
621,48984,10254,30247,42224,11827,37716
622,49576,25959,7347,18040,47095,48131
623,20085,45886,3150,22170,10644,31435
624,31839,12424,9996,16452,19451,23809
625,11591,28335,10760,43349,33942,40333
626,31310,27073,41549,6279,28152,30616
627,9085,37890,5329,19987,39604,42710
628,37848,16475,19610,22135,21632,23750
629,25013,45371,35135,42118,37256,31892
630,40227,31036,39086,37851,11969,45156
631,42998,9983,20978,10585,8189,29282
632,44730,32462,6063,22904,28732,18731
633,10757,21586,42071,5290,42145,28837
634,9745,47234,9961,22451,11149,18922
635,22831,19363,7519,6316,37543,26107
636,14526,27208,11264,40887,48965,46387
637,15326,17871,26663,24294,46496,9040
638,31805,37432,5883,14278,12629,44711
639,48533,7906,4238,48220,23133,40643
640,47868,32479,27982,33397,20652,40003
641,14817,48424,22087,44599,16332,31588
642,9136,18752,45671,49981,39903,39432
643,32147,33931,20223,41783,25118,32138
644,18502,8916,26990,33144,17790,13144
645,37513,16378,13106,33696,29697,32464
646,47270,48188,40840,11578,13956,27032
647,35118,23921,1794,15051,21407,47165
648,30210,27344,35011,23684,28519,41543
649,10565,20286,11936,32174,16579,20676
650,12520,20026,39603,29695,36335,12485
651,22957,20396,22782,44067,15876,33735
652,18423,26855,13264,17282,47002,29501
653,8696,45416,13575,35139,11147,8112
654,37602,16642,15017,42737,6153,21292
655,49305,9051,46962,7142,24166,35983
656,45585,40898,41783,47577,36903,33437
657,30139,43397,43954,27342,40048,37676
658,35997,46307,37226,26577,18402,31527
659,25142,21792,44393,5820,42990,32772
660,5463,29181,27665,17365,13736,30820
661,37079,28647,11964,26644,23281,29216
662,41565,19251,46064,16060,34209,37578
663,33838,42829,31198,13713,23465,37724
664,6224,13730,32295,38310,49244,27010
665,23693,23394,12561,39257,43994,10548
666,13272,15180,5718,37487,33952,22626
667,25989,38370,39091,29794,28433,42790
668,38866,8534,37880,22594,49705,44846
669,33392,21251,48484,32685,40878,25598
670,21035,12269,40874,24693,21652,28563
671,26203,41267,29812,32950,40253,9771
672,6239,36686,17527,29734,46616,39154
673,37926,5235,36880,47091,7186,7195
674,10001,11538,5070,12504,33872,23868
675,11998,28264,11842,37080,42729,20684
676,15235,14149,14003,5610,48846,10644
677,37395,19194,14928,18895,45598,41110
678,29002,28149,12582,43558,11891,30444
679,20306,16176,1893,25660,18610,28040
680,46468,38884,45632,43573,49467,36191
681,34545,38596,31298,9535,34320,37399
682,26046,39102,8134,46247,42801,12575
683,5801,13133,12506,26664,46044,22684
684,15424,38463,28973,25971,33716,41638
685,48247,36328,3548,39573,19266,32820
686,20061,44364,19662,47895,6624,40998
687,19866,28007,5285,38606,45856,9699
688,31694,9959,18266,42540,5307,6217
689,28264,19151,37147,47790,39883,20965
690,39112,18707,32685,20244,8522,19128
691,28746,35574,15183,39906,33981,35535
692,39568,33270,23399,10588,25483,13859
693,39256,28516,35202,14175,10790,15522
694,26815,39487,4935,11283,39882,47130
695,26189,20494,3441,9574,8883,49491
696,29479,42566,31108,44885,40536,7428
